MONTE CARLO: stima pi

nPunti		Media		Sigma		Tempo di esecuzione [s]

50		3.1488		0.238801		0.000466

100		3.12		0.143764		0.00095

150		3.10933		0.130969		0.001373

200		3.1428		0.11542		0.001825

250		3.14304		0.0986908		0.001637

300		3.12907		0.0893114		0.001731

350		3.12686		0.0835061		0.001825

400		3.1368		0.0842282		0.002145

450		3.14631		0.0729682		0.002761

500		3.14192		0.0738452		0.003351

550		3.1472		0.0630242		0.003393

600		3.13653		0.0830365		0.003584

650		3.14585		0.0685961		0.003403

700		3.14194		0.0658438		0.003701

750		3.13312		0.0592332		0.004036

800		3.1444		0.0639332		0.004315

850		3.14306		0.0545391		0.004592

900		3.14		0.0451442		0.004762

950		3.15385		0.0549311		0.005039

1000		3.14056		0.0534707		0.005224
